Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
8240.SR,"تشب",18.61,stage1,1,16,-34.7,17.97,22.22,23.21,33.20,15.70,-43.9,,"Weak / declining (1/10)",""
8250.SR,"جي آي جي",27.86,potential,8,88,8.3,24.77,23.85,24.18,28.38,20.84,-1.8,NEAR HIGH,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
8260.SR,"الخليجية العامة",3.78,stage4,0,5,-48.1,3.81,4.12,4.32,7.85,3.51,-51.8,,"Weak / declining (0/10)",""
8280.SR,"ليفا",10.50,stage1,1,40,-21.4,10.22,11.09,11.48,14.47,9.37,-27.4,,"Weak / declining (1/10)",""
8300.SR,"الوطنية",13.17,stage1,1,36,-25.9,12.97,13.3,13.82,18.70,11.37,-29.6,,"Weak / declining (1/10)",""
8310.SR,"أمانة للتأمين",6.56,stage1,3,55,-26.0,5.9,6.23,6.6,9.27,5.00,-29.2,,"Weak / declining (3/10)",""
8311.SR,"عناية",11.32,potential,8,98,9.0,9.1,8.19,8.41,11.95,6.40,-5.3,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
8313.SR,"رسن",142.60,stage2,10,98,65.8,135.31,125.01,118,153.20,74.10,-6.9,,"Textbook Stage 2 (10/10)",""
7200.SR,"ام آي اس",187.20,stage2,10,93,35.5,167.52,163.05,155.92,199.70,125.00,-6.3,,"Textbook Stage 2 (10/10)",""
7201.SR,"بحر العرب",3.56,stage4,0,11,-38.1,3.61,4.13,4.42,5.96,3.32,-40.3,,"Weak / declining (0/10)",""
7202.SR,"سلوشنز",229.00,stage3,5,56,-17.9,203.1,219.79,226.6,284.80,170.10,-19.6,,"Basing (5/10)",""
7203.SR,"علم",693.00,stage1,2,19,-37.8,568.4,710.05,752.44,1090.00,504.50,-36.4,,"Weak / declining (2/10)",""
7204.SR,"توبي",7.37,stage1,1,19,-37.2,6.98,7.86,8.52,12.28,6.21,-40.0,,"Weak / declining (1/10)",""
7211.SR,"عزم",23.56,stage1,1,61,0.0,22.76,23.61,24.38,31.70,21.12,-25.7,,"Weak / declining (1/10)",""
7010.SR,"اس تي سي",43.00,stage1,4,67,-0.3,42.58,43.15,43.08,46.25,40.20,-7.0,,"Basing (4/10)",""
7020.SR,"إتحاد إتصالات",65.20,stage1,6,77,9.5,66.14,66.05,65.49,71.60,54.60,-8.9,,"Near Stage 2 (6/10) | Missing: Price > 150MA, Price > 200MA, Price > 50MA, 25%+ above 52W low",""
7030.SR,"زين السعودية",11.09,potential,7,75,0.6,11.49,11.11,11.03,12.10,10.02,-8.3,,"Near Stage 2 (7/10) | Missing: Price > 150MA, Price > 50MA, 25%+ above 52W low",""
7040.SR,"قو للإتصالات",98.00,stage3,5,77,0.7,90.57,92.6,95.94,113.90,80.50,-14.0,,"Basing (5/10)",""
2080.SR,"الغاز",77.95,stage1,3,59,-2.9,81.52,84.46,82.57,95.75,65.80,-18.6,,"Weak / declining (3/10)",""
2081.SR,"الخريف",122.00,stage1,2,60,-13.5,119.18,128.07,129.15,159.20,108.70,-23.4,,"Weak / declining (2/10)",""
2082.SR,"أكوا",185.10,stage1,1,22,-37.8,170.57,187.86,194.35,304.00,149.40,-39.1,,"Weak / declining (1/10)",""
2083.SR,"مرافق",38.14,stage3,6,88,-8.8,32.57,35.11,36.23,45.30,28.42,-15.8,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 50MA > 150MA, 50MA > 200MA",""
2084.SR,"مياهنا",15.32,stage4,0,29,-41.1,16.14,18.21,19.82,28.14,13.84,-45.6,,"Weak / declining (0/10)",""
5110.SR,"السعودية للطاقة",16.57,stage2,10,91,17.3,16.22,15,14.95,17.92,13.00,-7.5,,"Textbook Stage 2 (10/10)",""
4330.SR,"الرياض ريت",5.01,stage4,1,53,-14.6,5.03,5.07,5.13,5.94,4.70,-15.7,,"Weak / declining (1/10)",""
4331.SR,"الجزيرة ريت",11.31,stage1,2,38,-23.2,11.23,11.85,12.23,14.90,9.92,-24.1,,"Weak / declining (2/10)",""
4332.SR,"جدوى ريت الحرمين",4.84,stage4,1,42,-20.2,4.88,4.95,5.03,6.18,4.75,-21.7,,"Weak / declining (1/10)",""
4333.SR,"تعليم ريت",10.42,potential,8,79,3.4,10.07,10.1,10.05,10.55,9.21,-1.2,NEAR HIGH,"Strong Stage 2 (8/10) | Missing: 50MA > 150MA, 25%+ above 52W low",""
4334.SR,"المعذر ريت",8.94,stage1,3,70,-3.9,8.9,8.99,9.01,9.85,8.51,-9.2,,"Weak / declining (3/10)",""
4335.SR,"مشاركة ريت",4.12,stage4,1,62,-8.2,4.17,4.2,4.22,4.66,3.99,-11.6,,"Weak / declining (1/10)",""
4336.SR,"ملكية ريت",4.56,stage1,2,66,-8.3,4.55,4.62,4.65,5.02,4.30,-9.2,,"Weak / declining (2/10)",""
4337.SR,"العزيزية ريت",5.23,stage2,9,94,17.5,5.28,4.59,4.48,5.56,3.72,-5.9,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4338.SR,"الأهلي ريت 1",6.40,stage4,2,65,-7.1,6.48,6.43,6.51,7.25,5.80,-11.7,,"Weak / declining (2/10)",""
4339.SR,"دراية ريت",5.48,stage3,5,78,-0.9,5.26,5.3,5.37,5.75,4.97,-4.7,,"Basing (5/10)",""
4340.SR,"الراجحي ريت",8.31,potential,7,76,-0.4,8.16,8.11,8.14,8.42,7.70,-1.3,NEAR HIGH,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, 200MA trending up, 25%+ above 52W low",""
4342.SR,"جدوى ريت السعودية",11.25,stage2,9,80,8.5,11.21,11.09,10.98,11.70,9.80,-3.8,,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
4344.SR,"سدكو كابيتال ريت",7.45,stage2,9,83,7.2,7.27,7,6.98,7.72,6.14,-3.5,,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
4345.SR,"الإنماء ريت للتجزئة",4.55,potential,8,71,-1.7,4.62,4.54,4.54,4.92,4.31,-7.5,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, 25%+ above 52W low",""
4346.SR,"ميفك ريت",3.51,stage4,1,54,-12.8,3.56,3.57,3.6,4.04,3.34,-13.1,,"Weak / declining (1/10)",""
4347.SR,"بنيان ريت",9.62,stage2,9,77,2.9,9.53,9.37,9.32,9.81,8.88,-1.9,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
4348.SR,"الخبير ريت",5.80,potential,8,72,-0.2,5.7,5.68,5.7,5.98,5.50,-3.0,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 25%+ above 52W low",""
4349.SR,"الإنماء ريت الفندقي",8.17,stage3,5,75,-0.5,8.08,8.11,8.13,8.47,7.90,-3.5,,"Basing (5/10)",""
4350.SR,"الإستثمار ريت",7.28,stage4,0,40,-18.0,7.45,7.48,7.64,9.87,6.70,-26.2,,"Weak / declining (0/10)",""
4020.SR,"العقارية",14.58,stage1,4,33,-37.9,13.74,13.66,14.44,23.76,12.30,-38.6,,"Basing (4/10)",""
4090.SR,"طيبة",39.20,potential,7,67,-1.8,38.43,36.41,36.94,44.20,30.40,-11.3,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, 200MA trending up, RS Rating ≥ 70 (67)",""
4100.SR,"مكة",79.30,stage4,2,29,-24.8,83.33,83.91,82.47,110.00,67.95,-27.9,,"Weak / declining (2/10)",""
4150.SR,"التعمير",18.78,stage1,1,7,-45.0,18.4,21.93,24.19,35.92,17.02,-47.7,,"Weak / declining (1/10)",""
4220.SR,"إعمار",11.59,stage3,6,80,-16.7,10.29,10.53,11.12,14.76,7.96,-21.5,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 50MA > 150MA, 50MA > 200MA",""
4230.SR,"البحر الأحمر",25.34,stage1,2,24,-40.9,23.01,29.66,33.29,49.94,19.30,-49.3,,"Weak / declining (2/10)",""
4250.SR,"جبل عمر",14.77,stage4,0,12,-40.1,15.45,15.7,16.44,25.50,13.88,-42.1,,"Weak / declining (0/10)",""
4300.SR,"دار الأركان",17.67,stage1,4,51,-13.3,18.28,17.47,17.71,21.30,14.58,-17.0,,"Basing (4/10)",""
4310.SR,"مدينة المعرفة",11.66,stage1,1,33,-22.7,11.57,11.97,12.14,15.78,11.03,-26.1,,"Weak / declining (1/10)",""
4320.SR,"الأندلس",14.52,stage4,0,12,-35.4,15.09,17.04,17.6,23.16,14.00,-37.3,,"Weak / declining (0/10)",""
4321.SR,"سينومي سنترز",17.09,stage4,0,43,-14.3,17.3,18.9,19.56,23.25,15.85,-26.5,,"Weak / declining (0/10)",""
4322.SR,"رتال",13.67,potential,7,68,-13.4,14.18,12.78,12.68,17.38,10.57,-21.3,,"Near Stage 2 (7/10) | Missing: 200MA trending up, Price > 50MA, RS Rating ≥ 70 (68)",""
4323.SR,"سمو",29.92,stage1,1,25,-31.8,28.93,32.1,33.73,44.70,24.22,-33.1,,"Weak / declining (1/10)",""
4324.SR,"بنان",3.35,stage4,0,16,-31.6,3.44,3.74,3.97,5.32,3.16,-37.0,,"Weak / declining (0/10)",""
4325.SR,"مسار",15.88,stage4,0,15,-34.9,16.38,18.43,19.65,26.98,15.35,-41.1,,"Weak / declining (0/10)",""
4326.SR,"الماجدية",7.79,stage1,0,13,0.0,8.44,9.57,,14.46,7.68,-46.1,,"Weak / declining (0/10)",""
4327.SR,"الرمز",53.95,stage1,1,37,0.0,55.56,,,70.00,52.40,-22.9,,"Weak / declining (1/10)",""
4700.SR,"الخبير للدخل",4.85,stage4,1,36,-18.0,4.91,5.21,5.33,6.06,4.80,-20.0,,"Weak / declining (1/10)",""
4701.SR,"الخبير للنمو والدخل",9.87,stage3,6,85,10.2,9.31,9.46,9.43,11.40,8.56,-13.4,,"Near Stage 2 (6/10) | Missing: 200MA trending up, 50MA > 150MA, 50MA > 200MA, 25%+ above 52W low",""
4702.SR,"الخبير للدخل 2030",7.68,stage4,3,76,1.4,7.78,7.78,7.79,9.30,7.21,-17.4,,"Weak / declining (3/10)",""
4703.SR,"سدكو متعدد الأصول",6.48,stage4,3,79,8.1,6.68,6.87,6.81,9.90,5.97,-34.5,,"Weak / declining (3/10)",""
4165.SR,"الماجد للعود",136.00,potential,6,63,-2.9,156.29,145.48,139.34,172.30,106.40,-21.1,,"Near Stage 2 (6/10) | Missing: Price > 150MA, Price > 200MA, Price > 50MA, RS Rating ≥ 70 (63)",""
