Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
FMX,"Fomento Economico Mexicano S.A.",128.23,stage2,9,14,28.8,120.32,110.27,106.51,130.55,83.08,-1.8,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (14)",""
SN,"SharkNinja, Inc.",135.44,stage2,9,42,47.4,116.99,114.18,110.08,139.41,83.12,-2.9,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (42)",""
VRT,"Vertiv Holdings, LLC",314.50,stage2,8,60,155.5,321.17,243.71,224.03,379.94,110.06,-17.2,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, RS Rating ≥ 70 (60)",""
SNEX,"StoneX Group Inc.",134.25,stage2,10,78,131.5,111.41,85,79.69,136.71,53.53,-1.8,NEAR HIGH,"Textbook Stage 2 (10/10)",""
WT,"WisdomTree, Inc.",18.57,stage2,9,40,73.8,17.91,15.4,14.78,19.85,10.10,-6.4,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (40)",""
SFNC,"Simmons First National Corporat",22.51,stage2,9,14,23.3,21.29,20.14,19.79,22.62,17.00,-0.5,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (14)",""
ROKU,"Roku, Inc.",140.63,stage2,9,62,77.4,123.27,107,105.01,148.88,77.64,-5.5,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (62)",""
SHLS,"Shoals Technologies Group, Inc.",10.31,potential,8,97,118.0,9.63,8.7,8.74,13.18,3.99,-21.8,,"Near Stage 2 (8/10) · RS unknown | Missing: 150>200, RS≥70",""
AMX,"America Movil, S.A.B. de C.V.",27.56,stage2,9,87,57.4,26.48,23.93,23.46,28.46,16.88,-3.2,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
AUB,"Atlantic Union Bankshares Corpo",40.77,stage2,9,84,30.4,38.27,37.41,36.57,42.18,29.64,-3.3,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
NOK,"Nokia Corporation Sponsored",14.71,stage2,9,98,184.5,13.5,9.3,8.43,17.45,4.00,-15.7,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
DAR,"Darling Ingredients Inc.",55.44,potential,8,83,45.4,59.7,51.12,46.46,66.02,29.15,-16.0,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
HOPE,"Hope Bancorp, Inc.",13.26,stage2,9,83,22.7,12.58,11.84,11.52,13.26,9.44,-0.0,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
CATY,"Cathay General Bancorp",61.31,stage2,9,86,34.2,57.35,52.71,51.36,61.32,42.01,-0.0,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
LRCX,"Lam Research Corporation",389.68,stage2,9,98,300.9,305.42,241.21,216.74,390.61,87.75,-0.2,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
NFBK,"Northfield Bancorp, Inc.",14.74,stage2,9,80,23.8,14.21,13.12,12.57,14.84,9.91,-0.7,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
OPY,"Oppenheimer Holdings, Inc.",105.55,stage2,9,90,59.5,100.61,88.06,83.56,118.77,61.37,-11.1,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
BWB,"Bridgewater Bancshares, Inc.",19.81,stage2,9,81,23.0,18.9,18.45,18.08,20.30,14.80,-2.4,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
SQM,"Sociedad Quimica y Minera S.A.",83.53,potential,8,95,138.6,85.51,77.51,69.95,98.00,31.90,-14.8,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
TGTX,"TG Therapeutics, Inc.",49.23,stage2,9,93,34.1,40.39,33.77,33.74,50.41,25.28,-2.3,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
AMG,"Affiliated Managers Group, Inc.",357.69,stage2,9,92,81.0,312.41,298.65,285.09,363.89,179.79,-1.7,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
WTS,"Watts Water Technologies, Inc.",336.69,stage2,9,83,36.9,308.64,300.52,294.18,345.17,238.47,-2.5,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
VLY,"Valley National Bancorp",14.67,stage2,9,90,63.7,13.71,12.73,12.22,14.70,8.36,-0.2,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ATRO,"Astronics Corporation",75.45,stage2,9,96,170.8,67.85,59.92,54.77,83.24,22.73,-9.4,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
CNOB,"ConnectOne Bancorp, Inc.",32.91,stage2,9,87,40.6,30.17,27.95,27.11,33.00,21.79,-0.3,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ACNB,"ACNB Corporation",57.70,stage2,9,86,34.2,53.67,50.85,49.45,58.54,40.15,-1.4,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
PDFS,"PDF Solutions, Inc.",65.01,stage2,9,99,207.4,50.69,38.18,35.15,66.97,18.12,-2.9,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
VVX,"V2X, Inc.",87.29,stage2,9,92,80.7,75.73,68.01,65.06,91.80,43.80,-4.9,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
VBNK,"VersaBank",20.06,stage2,9,94,75.8,18.35,16.07,15.06,25.05,10.10,-19.9,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
RNST,"Renasant Corporation",43.28,stage2,9,82,20.1,40.76,38.42,37.66,43.30,33.04,-0.0,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ASML,"ASML Holding N.V. - New York Re",1903.59,stage2,9,96,139.2,1609.29,1395.46,1295.7,1907.03,683.48,-0.2,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
RS,"Reliance, Inc.",414.46,stage2,9,89,30.8,374.42,330.88,317.66,419.83,260.31,-1.3,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
FRST,"Primis Financial Corp.",15.69,stage2,9,88,45.9,14.65,13.69,12.92,15.89,9.55,-1.3,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
CRS,"Carpenter Technology Corporatio",557.75,stage2,9,96,102.2,464.53,391.91,364.32,574.52,228.00,-2.9,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
FCF,"First",19.95,stage2,9,81,22.0,18.9,17.94,17.54,19.98,15.00,-0.1,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
FVCB,"FVCBankcorp, Inc.",16.86,stage2,9,84,43.5,15.95,15.07,14.45,18.41,11.13,-8.4,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
SNDK,"Sandisk Corporation",2066.55,stage2,9,99,4282.9,1484.75,822.9,658.78,2119.90,40.10,-2.5,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
TRMD,"TORM plc",30.11,potential,8,87,76.3,30.74,26.47,25.3,35.33,16.36,-14.8,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
EQBK,"Equity Bancshares, Inc.",48.48,stage2,9,79,17.5,46.28,45.64,44.53,50.07,36.04,-3.2,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
SEPN,"Septerna, Inc.",36.00,stage2,9,98,242.5,28.69,27.14,25.57,37.00,9.85,-2.7,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
BGC,"BGC Group, Inc.",12.07,stage2,9,84,19.5,11.34,9.95,9.76,12.07,8.27,0.0,NEW HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
GEO,"Geo Group Inc (The) REIT",27.91,stage2,9,93,17.4,22.87,18.42,18.25,28.89,12.51,-3.4,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
TEO,"Telecom Argentina SA",15.35,stage2,9,93,71.9,12.92,12.11,11.41,16.34,6.43,-6.1,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ZVRA,"Zevra Therapeutics, Inc.",12.75,potential,8,89,41.7,11.06,9.6,9.6,14.27,7.16,-10.7,,"Near Stage 2 (8/10) · RS unknown | Missing: 150>200, RS≥70",""
GEV,"GE Vernova Inc.",964.90,potential,8,91,85.7,1015.05,840.55,778.11,1181.95,479.04,-18.4,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
ONB,"Old National Bancorp",25.34,stage2,9,80,18.6,24.14,23.43,22.85,26.17,19.39,-3.2,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
TEN,"Tsakos Energy Navigation Ltd",38.87,potential,8,90,96.6,40.23,32.95,30.55,45.85,18.63,-15.2,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
ASC,"Ardmore Shipping Corporation",16.85,potential,8,89,72.8,17.45,14.64,14.06,20.03,9.45,-15.9,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
ENVA,"Enova International, Inc.",190.93,stage2,9,94,72.0,170.74,156.04,146.86,193.54,94.27,-1.3,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
INBK,"First Internet Bancorp",25.71,stage2,9,80,-5.8,24.33,22.02,21.64,28.51,17.05,-9.8,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
AEIS,"Advanced Energy Industries, Inc",373.19,stage2,9,95,182.1,348.2,298.72,271.46,397.44,123.74,-6.1,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
DCOM,"Dime Commercial Bancshares, Inc",40.51,stage2,9,88,48.4,37.41,34.04,32.62,40.76,25.63,-0.6,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
JOUT,"Johnson Outdoors Inc.",47.10,potential,8,85,61.0,47.57,46.16,44.72,53.54,28.80,-12.0,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
NEXA,"Nexa Resources S.A.",14.75,stage2,9,97,198.6,14.63,11.87,10.28,16.89,4.44,-12.7,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ESOA,"Energy Services of America Corp",17.05,stage2,9,91,79.6,16.47,12.82,12.16,19.94,7.84,-14.5,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
CXW,"CoreCivic, Inc.",26.62,stage2,9,86,28.2,22.21,20.05,19.71,27.29,15.74,-2.5,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ALB,"Albemarle Corporation",167.99,potential,8,95,158.6,180.57,166.77,149.42,221.00,55.90,-24.0,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
FNB,"F.N.B. Corporation",18.77,stage2,9,82,29.0,17.82,17.42,17.03,19.14,13.54,-1.9,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
ECO,"Okeanis Eco Tankers Corp.",52.67,stage2,9,92,140.2,52.56,45.52,42.28,58.45,21.27,-9.9,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
DHT,"DHT Holdings, Inc.",17.60,potential,8,81,59.4,17.74,16.03,15.19,20.55,10.61,-14.4,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
KMT,"Kennametal Inc.",35.88,potential,8,85,56.1,35.97,34.85,31.91,43.81,17.62,-18.1,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
