Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",54.80,stage3,4,27,-20.2,45.66,48.33,50.94,65.80,43.68,-16.7,,"Basing (4/10)",""
2222.SR,"أرامكو السعودية",26.06,potential,6,43,4.7,27.12,26.18,25.93,27.96,23.04,-6.8,,"Near Stage 2 (6/10) | Missing: Price > 150MA, Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (43)",""
2380.SR,"بترو رابغ",12.07,potential,8,92,63.2,14.12,10.16,9.67,16.40,6.26,-26.4,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, Within 25% of 52W high",""
2381.SR,"الحفر العربية",91.25,stage2,9,79,1.3,90.47,91.7,89.99,107.00,72.15,-14.7,,"Textbook Stage 2 (9/10) | Missing: 50MA > 150MA",""
2382.SR,"أديس",18.58,stage2,9,83,34.6,19.13,18.09,17.67,19.94,12.42,-6.8,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4030.SR,"البحري",32.00,stage2,9,76,33.6,33.5,31.75,31.49,39.48,21.08,-18.9,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4200.SR,"الدريس",114.00,stage4,0,21,-12.4,116.28,121.6,126,154.10,110.70,-26.0,,"Weak / declining (0/10)",""
1201.SR,"تكوين",5.10,stage4,0,1,-39.0,5.09,5.53,5.9,8.67,4.90,-41.2,,"Weak / declining (0/10)",""
1202.SR,"مبكو",18.12,stage4,0,4,-42.7,18.38,18.93,20.7,31.52,15.70,-42.5,,"Weak / declining (0/10)",""
1210.SR,"بي سي آي",24.12,stage4,1,24,-12.9,24.58,25.02,25.67,29.16,22.80,-17.3,,"Weak / declining (1/10)",""
1211.SR,"معادن",58.85,stage4,2,46,5.7,62.78,66.25,65.32,79.90,49.78,-26.3,,"Weak / declining (2/10)",""
1301.SR,"أسلاك",16.94,stage4,0,6,-33.0,16.5,17.7,19.21,26.10,15.10,-35.1,,"Weak / declining (0/10)",""
1304.SR,"اليمامة للحديد",42.10,stage2,10,86,25.3,40.11,37.49,37.18,43.50,29.18,-3.2,,"Textbook Stage 2 (10/10)",""
1320.SR,"أنابيب السعودية",50.25,potential,7,49,-12.8,54.46,45.62,46.48,60.00,35.80,-16.3,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, Price > 50MA, RS Rating ≥ 70 (49)",""
1321.SR,"أنابيب الشرق",223.50,stage2,10,96,82.3,206.81,167.53,159.35,230.00,102.90,-2.8,,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",71.35,stage4,2,41,5.3,75.74,87.06,84.25,117.50,60.30,-39.3,,"Weak / declining (2/10)",""
1323.SR,"يو سي آي سي",25.34,stage4,2,9,-32.6,25.09,25.08,26.14,37.94,23.00,-33.2,,"Weak / declining (2/10)",""
1324.SR,"صالح الراشد",43.14,stage1,0,0,0.0,48.39,,,72.15,42.82,-40.2,,"Weak / declining (0/10)",""
2001.SR,"كيمانول",8.87,potential,6,19,-34.3,8.85,8.17,8.59,13.96,5.88,-36.5,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, Within 25% of 52W high, RS Rating ≥ 70 (19)",""
2010.SR,"سابك",52.05,stage4,2,29,-5.4,56.39,56.08,56.66,64.00,48.20,-18.7,,"Weak / declining (2/10)",""
2020.SR,"سابك للمغذيات الزراعية",122.70,stage1,5,51,6.6,134.23,130.39,127.66,159.30,105.90,-23.0,,"Basing (5/10)",""
2060.SR,"التصنيع",9.12,stage4,2,43,-6.9,9.7,9.39,9.75,11.94,8.05,-23.6,,"Weak / declining (2/10)",""
2090.SR,"جبسكو",14.76,stage4,0,5,-36.0,14.28,14.76,15.77,23.90,13.00,-38.2,,"Weak / declining (0/10)",""
2150.SR,"زجاج",35.98,stage4,2,21,-19.1,36.96,36.77,37.53,45.92,34.00,-21.6,,"Weak / declining (2/10)",""
2170.SR,"اللجين",27.06,stage1,3,11,-28.4,28.57,27.17,28.32,38.30,20.41,-29.3,,"Weak / declining (3/10)",""
2180.SR,"فيبكو",33.06,stage3,5,55,-9.4,29.34,29.4,30.4,37.20,24.10,-11.1,,"Basing (5/10)",""
2200.SR,"أنابيب",6.64,stage2,9,75,-0.6,7.14,5.89,5.8,7.97,4.26,-16.7,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2210.SR,"نماء للكيماويات",18.74,stage4,0,7,-34.1,18.83,20.86,22.12,29.48,18.56,-36.4,,"Weak / declining (0/10)",""
