Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",54.20,stage3,4,40,-15.3,45.98,48.43,51.02,65.80,43.68,-17.6,,"Basing (4/10)",""
2222.SR,"أرامكو السعودية",26.12,potential,6,43,4.7,27.12,26.18,25.93,27.96,23.04,-6.6,,"Near Stage 2 (6/10) | Missing: Price > 150MA, Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (43)",""
2380.SR,"بترو رابغ",12.22,potential,8,92,64.3,14.13,10.16,9.68,16.40,6.26,-25.5,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, Within 25% of 52W high",""
2381.SR,"الحفر العربية",90.55,potential,8,79,-0.2,90.35,91.66,89.96,107.00,72.15,-15.4,,"Strong Stage 2 (8/10) | Missing: Price > 150MA, 50MA > 150MA",""
2382.SR,"أديس",18.62,stage2,9,83,35.7,19.14,18.1,17.67,19.94,12.42,-6.6,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4030.SR,"البحري",31.90,stage2,9,76,33.6,33.5,31.75,31.49,39.48,21.08,-19.2,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4200.SR,"الدريس",114.00,stage4,0,17,-12.9,116.21,121.58,125.99,154.10,110.70,-26.0,,"Weak / declining (0/10)",""
1201.SR,"تكوين",5.11,stage1,1,1,-37.8,5.1,5.54,5.9,8.67,4.90,-41.1,,"Weak / declining (1/10)",""
1202.SR,"مبكو",17.92,stage4,0,4,-41.1,18.43,18.95,20.71,31.52,15.70,-43.1,,"Weak / declining (0/10)",""
1210.SR,"بي سي آي",24.24,stage4,1,24,-11.3,24.62,25.03,25.68,29.16,22.80,-16.9,,"Weak / declining (1/10)",""
1211.SR,"معادن",59.40,stage4,2,49,6.6,62.83,66.27,65.34,79.90,49.78,-25.7,,"Weak / declining (2/10)",""
1301.SR,"أسلاك",17.01,stage1,1,6,-30.0,16.57,17.73,19.23,26.10,15.10,-34.8,,"Weak / declining (1/10)",""
1304.SR,"اليمامة للحديد",42.00,stage2,10,86,24.2,40.08,37.48,37.17,43.50,29.18,-3.4,,"Textbook Stage 2 (10/10)",""
1320.SR,"أنابيب السعودية",50.45,potential,7,51,-12.0,54.5,45.63,46.49,60.00,35.80,-15.9,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, Price > 50MA, RS Rating ≥ 70 (51)",""
1321.SR,"أنابيب الشرق",220.00,stage2,10,94,77.4,206.21,167.33,159.2,230.00,102.90,-4.3,,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",71.20,stage4,2,39,4.3,75.67,87.04,84.23,117.50,60.30,-39.4,,"Weak / declining (2/10)",""
1323.SR,"يو سي آي سي",25.42,stage1,3,14,-31.7,25.13,25.09,26.15,37.94,23.00,-33.0,,"Weak / declining (3/10)",""
1324.SR,"صالح الراشد",42.98,stage1,0,0,0.0,48.39,,,72.15,42.82,-40.4,,"Weak / declining (0/10)",""
2001.SR,"كيمانول",8.87,potential,6,19,-34.3,8.85,8.17,8.59,13.96,5.88,-36.5,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, Within 25% of 52W high, RS Rating ≥ 70 (19)",""
2010.SR,"سابك",51.55,stage4,2,26,-6.4,56.34,56.07,56.65,64.00,48.20,-19.5,,"Weak / declining (2/10)",""
2020.SR,"سابك للمغذيات الزراعية",123.80,stage1,5,55,7.7,134.35,130.43,127.69,159.30,105.90,-22.3,,"Basing (5/10)",""
2060.SR,"التصنيع",9.04,stage4,2,41,-6.8,9.7,9.39,9.75,11.94,8.05,-24.3,,"Weak / declining (2/10)",""
2090.SR,"جبسكو",14.85,stage1,2,7,-33.2,14.34,14.79,15.79,23.90,13.00,-37.9,,"Weak / declining (2/10)",""
2150.SR,"زجاج",36.04,stage4,2,19,-18.3,37,36.78,37.54,45.92,34.00,-21.5,,"Weak / declining (2/10)",""
2170.SR,"اللجين",27.00,stage1,3,9,-28.5,28.57,27.17,28.32,38.30,20.41,-29.5,,"Weak / declining (3/10)",""
2180.SR,"فيبكو",32.10,stage3,5,47,-9.8,29.33,29.4,30.39,37.20,24.10,-13.7,,"Basing (5/10)",""
2200.SR,"أنابيب",6.55,stage2,9,73,-2.8,7.13,5.88,5.8,7.97,4.26,-17.8,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2210.SR,"نماء للكيماويات",18.74,stage4,0,5,-34.1,18.83,20.86,22.12,29.48,18.56,-36.4,,"Weak / declining (0/10)",""
2220.SR,"معدنية",12.66,stage1,2,23,-22.6,12.1,12.64,13.47,18.50,10.70,-31.6,,"Weak / declining (2/10)",""
2223.SR,"لوبريف",124.30,stage2,9,83,17.3,124.84,108.91,104.47,131.20,81.30,-5.3,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2240.SR,"صناعات",33.98,stage4,1,24,-26.1,35.16,36.89,36.41,47.96,28.68,-29.1,,"Weak / declining (1/10)",""
2250.SR,"المجموعة السعودية",13.33,stage1,3,38,-20.0,14.15,13.28,14.01,20.00,11.41,-33.4,,"Weak / declining (3/10)",""
2290.SR,"ينساب",29.42,stage1,3,43,-0.9,32.53,30.84,31.27,38.44,24.00,-23.5,,"Weak / declining (3/10)",""
2300.SR,"صناعة الورق",56.30,stage1,5,44,-9.5,57.95,57.18,56.92,65.50,47.00,-14.0,,"Basing (5/10)",""
2310.SR,"سبكيم العالمية",14.31,stage4,0,13,-25.2,14.82,15.13,15.92,21.23,13.13,-32.6,,"Weak / declining (0/10)",""
2330.SR,"المتقدمة",23.74,stage4,1,23,-24.4,26.19,26.15,28.32,38.64,21.55,-38.6,,"Weak / declining (1/10)",""
2350.SR,"كيان السعودية",5.20,stage1,4,67,6.1,5.66,5.22,5.33,6.41,4.48,-18.9,,"Basing (4/10)",""
2360.SR,"الفخارية",18.95,stage1,3,8,-38.8,16.88,18.76,20.51,32.42,14.14,-41.5,,"Weak / declining (3/10)",""
3002.SR,"أسمنت نجران",5.83,stage4,0,11,-30.1,5.87,6.2,6.49,8.46,5.64,-31.1,,"Weak / declining (0/10)",""
3003.SR,"أسمنت المدينة",11.28,stage4,0,1,-36.0,11.9,12.38,12.83,17.89,10.90,-36.9,,"Weak / declining (0/10)",""
3004.SR,"أسمنت الشمالية",6.73,stage4,1,37,-14.8,6.91,6.98,7.18,8.65,6.56,-22.2,,"Weak / declining (1/10)",""
