Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",45.60,stage4,0,8,-20.4,45.75,49.57,52.09,65.80,,-30.7,,"Weak / declining (0/10)",""
2222.SR,"أرامكو السعودية",27.36,potential,7,57,7.7,27.45,26,25.69,27.96,,-2.1,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (57)",""
2380.SR,"بترو رابغ",15.28,stage2,9,92,124.4,13.55,9.51,9.08,16.40,,-6.8,,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
2381.SR,"الحفر العربية",87.40,stage1,3,40,14.7,87.45,91.37,88.08,107.00,,-18.3,,"Weak / declining (3/10)",""
2382.SR,"أديس",19.04,stage2,9,76,49.0,18.96,17.85,17.32,19.94,,-4.5,,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
4030.SR,"البحري",34.02,stage2,9,79,41.8,33.85,31.57,30.66,39.48,,-13.8,,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
4200.SR,"الدريس",113.40,stage4,0,17,-3.9,120.03,123.54,126.05,154.10,,-26.4,,"Weak / declining (0/10)",""
1201.SR,"تكوين",5.10,stage4,0,1,-30.1,5.22,5.72,6.13,8.67,,-41.2,,"Weak / declining (0/10)",""
1202.SR,"مبكو",19.45,stage1,1,14,-25.2,18.32,19.83,21.63,31.52,,-38.3,,"Weak / declining (1/10)",""
1210.SR,"بي سي آي",25.04,stage4,1,27,-0.4,25.21,25.41,25.98,29.16,,-14.1,,"Weak / declining (1/10)",""
1211.SR,"معادن",62.95,stage1,5,0,33.2,65.58,66.31,65.18,79.90,39.20,-21.2,,"Basing (5/10) · RS unknown",""
1301.SR,"أسلاك",16.51,stage4,0,0,-21.4,16.91,18.25,19.7,26.10,15.65,-36.7,,"Declining (0/10) · RS unknown",""
1304.SR,"اليمامة للحديد",39.46,stage2,9,0,39.9,39.37,36.78,36.63,43.50,28.20,-9.3,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
1320.SR,"أنابيب السعودية",55.00,potential,8,0,10.1,54.09,44.68,46.25,61.00,36.30,-9.8,,"Near Stage 2 (8/10) · RS unknown | Missing: 150>200, RS≥70",""
1321.SR,"أنابيب الشرق",199.00,stage2,9,0,80.3,190.04,157.53,150.38,206.00,105.00,-3.4,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
1322.SR,"أماك",77.45,stage4,3,0,34.7,80.36,87.66,83.99,117.50,50.90,-34.1,,"Declining (3/10) · RS unknown",""
1323.SR,"يو سي آي سي",24.87,stage4,0,0,-26.7,24.93,25.31,26.34,43.30,23.40,-42.6,,"Declining (0/10) · RS unknown",""
1324.SR,"صالح الراشد",47.80,stage4,0,0,0.0,53.41,,,72.15,46.70,-33.7,,"Declining (0/10) · RS unknown",""
2001.SR,"كيمانول",8.87,stage1,5,0,-23.1,8.92,8.19,8.7,13.96,5.97,-36.5,,"Basing (5/10) · RS unknown",""
2010.SR,"سابك",55.70,stage4,3,0,2.6,58.23,56.29,57.17,64.00,50.55,-13.0,,"Declining (3/10) · RS unknown",""
2020.SR,"سابك للمغذيات الزراعية",132.60,potential,8,0,24.2,141.46,129.73,127.15,159.30,95.10,-16.8,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
2060.SR,"التصنيع",9.94,stage1,5,0,10.7,10.04,9.46,9.87,11.94,8.25,-16.8,,"Basing (5/10) · RS unknown",""
2090.SR,"جبسكو",14.44,stage4,1,0,-20.4,14.43,15.1,16.19,24.00,13.52,-39.8,,"Declining (1/10) · RS unknown",""
2150.SR,"زجاج",37.30,stage4,3,0,-10.8,37.31,36.98,37.88,45.92,34.60,-18.8,,"Declining (3/10) · RS unknown",""
2170.SR,"اللجين",28.00,stage4,3,0,-22.8,28.52,27.39,28.85,38.30,21.24,-26.9,,"Declining (3/10) · RS unknown",""
2180.SR,"فيبكو",27.86,stage4,0,0,-11.8,28.42,29.17,30.55,37.20,25.44,-25.1,,"Declining (0/10) · RS unknown",""
2200.SR,"أنابيب",7.32,stage2,9,0,28.2,6.97,5.68,5.68,7.54,4.50,-2.9,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
