Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",49.18,stage1,3,30,-17.3,47.43,48.21,50.14,63.95,43.68,-23.1,,"Weak / declining (3/10)",""
2222.SR,"أرامكو السعودية",26.74,potential,7,66,11.7,26.89,26.49,26.08,27.96,23.04,-4.4,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (66)",""
2380.SR,"بترو رابغ",14.55,stage2,10,96,110.0,14.16,10.94,10.17,16.40,6.26,-11.3,,"Textbook Stage 2 (10/10)",""
2381.SR,"الحفر العربية",88.95,stage4,2,60,19.7,90.67,90.99,91.06,107.00,72.15,-16.9,,"Weak / declining (2/10)",""
2382.SR,"أديس",17.86,potential,7,76,42.4,18.88,18.22,17.89,19.94,12.42,-10.4,,"Near Stage 2 (7/10) | Missing: Price > 150MA, Price > 200MA, Price > 50MA",""
4030.SR,"البحري",32.58,stage2,10,83,51.0,32.93,32.1,31.71,39.48,21.08,-17.5,,"Textbook Stage 2 (10/10)",""
4200.SR,"الدريس",116.30,stage4,0,24,-10.4,113.99,119.89,123.79,154.10,105.30,-24.5,,"Weak / declining (0/10)",""
1201.SR,"تكوين",4.31,stage4,0,1,-42.0,4.92,5.39,5.67,8.48,4.29,-49.2,,"Weak / declining (0/10)",""
1202.SR,"مبكو",16.01,stage4,0,4,-41.1,17.91,18.38,19.91,29.10,15.70,-45.0,,"Weak / declining (0/10)",""
1210.SR,"بي سي آي",23.01,stage4,1,17,-12.8,24.01,24.76,25.3,29.16,22.80,-21.1,,"Weak / declining (1/10)",""
1211.SR,"معادن",56.70,stage4,2,44,11.6,60.45,65.99,64.7,79.90,49.78,-29.0,,"Weak / declining (2/10)",""
1301.SR,"أسلاك",15.75,stage4,0,6,-28.7,16.41,17.36,18.56,26.10,15.10,-39.7,,"Weak / declining (0/10)",""
1304.SR,"اليمامة للحديد",38.18,stage2,9,74,17.2,40.21,38.37,37.4,43.50,29.18,-12.2,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
1320.SR,"أنابيب السعودية",47.02,stage2,8,31,-6.0,52.38,46.58,46.12,60.00,35.80,-21.6,,"Strong Stage 2 (8/10) | Missing: Price > 50MA, RS Rating ≥ 70 (31)",""
1321.SR,"أنابيب الشرق",208.00,stage2,10,89,106.2,213.68,174.81,165.39,231.10,102.90,-10.0,,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",70.85,stage4,2,36,9.1,72.8,85.45,83.7,117.50,60.30,-39.7,,"Weak / declining (2/10)",""
1323.SR,"يو سي آي سي",24.42,stage4,1,16,-19.7,25.24,25.05,25.8,34.68,23.00,-29.6,,"Weak / declining (1/10)",""
1324.SR,"صالح الراشد",40.62,stage1,0,0,0.0,43.97,,,72.15,40.00,-43.7,,"Weak / declining (0/10)",""
2001.SR,"كيمانول",8.87,stage2,10,96,213.6,18.17,11.28,10.8,39.88,5.88,-77.8,,"Textbook Stage 2 (10/10)",""
2010.SR,"سابك",52.45,stage4,2,26,-3.6,54.05,56.04,55.96,64.00,48.20,-18.0,,"Weak / declining (2/10)",""
2020.SR,"سابك للمغذيات الزراعية",123.20,stage1,4,45,1.5,128.39,131.55,127.93,159.30,108.30,-22.7,,"Basing (4/10)",""
2060.SR,"التصنيع",9.14,stage4,2,37,-3.6,9.49,9.35,9.58,11.94,8.05,-23.5,,"Weak / declining (2/10)",""
2090.SR,"جبسكو",13.91,stage4,0,7,-34.1,14.17,14.66,15.33,22.32,13.00,-37.7,,"Weak / declining (0/10)",""
2150.SR,"زجاج",35.60,stage4,1,35,-9.8,36.35,36.68,37.16,43.44,34.00,-18.0,,"Weak / declining (1/10)",""
2170.SR,"اللجين",27.76,stage1,4,19,-25.5,27.99,27.08,27.82,37.96,20.41,-26.9,,"Basing (4/10)",""
2180.SR,"فيبكو",31.82,potential,7,57,-3.9,30.42,29.49,30.14,37.20,24.10,-14.5,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, 200MA trending up, RS Rating ≥ 70 (57)",""
2200.SR,"أنابيب",6.63,stage2,9,71,13.9,7.08,6.1,5.87,7.97,4.26,-16.8,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2210.SR,"نماء للكيماويات",18.74,stage1,0,15,-27.3,18.74,20.45,21.49,28.96,18.56,-35.3,,"Weak / declining (0/10)",""
2220.SR,"معدنية",11.71,stage4,0,9,-29.9,12.12,12.51,13.07,18.50,10.70,-36.7,,"Weak / declining (0/10)",""
2223.SR,"لوبريف",132.20,stage2,10,87,40.5,127.29,112.35,107.54,138.60,81.30,-4.6,,"Textbook Stage 2 (10/10)",""
2240.SR,"صناعات",29.40,stage4,2,14,-26.5,33.59,36.32,36.26,43.96,28.68,-33.1,,"Weak / declining (2/10)",""
2250.SR,"المجموعة السعودية",12.97,stage4,2,26,-28.8,13.67,13.32,13.6,20.00,11.41,-35.1,,"Weak / declining (2/10)",""
2290.SR,"ينساب",33.02,stage1,5,51,2.1,31.29,31.14,31.01,38.44,24.00,-14.1,,"Basing (5/10)",""
2300.SR,"صناعة الورق",63.70,stage2,9,69,13.6,59.19,57.82,57.28,66.65,47.00,-4.4,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (69)",""
2310.SR,"سبكيم العالمية",13.60,stage4,0,18,-24.3,14.25,14.96,15.45,21.23,13.13,-35.9,,"Weak / declining (0/10)",""
