Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",44.82,stage4,0,19,-29.6,44.89,48.38,51.15,65.80,43.68,-31.9,,"Declining (0/10) · RS unknown",""
2222.SR,"أرامكو السعودية",26.52,potential,7,76,6.6,27.22,26.13,25.89,27.96,23.04,-5.2,,"Near Stage 2 (7/10) · RS unknown | Missing: P>50MA, 30%>Low, RS≥70",""
2380.SR,"بترو رابغ",12.40,potential,8,99,57.6,14.12,9.98,9.53,16.40,6.26,-24.4,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
2381.SR,"الحفر العربية",93.75,potential,7,94,14.5,90.4,91.77,89.63,107.00,72.15,-12.4,,"Near Stage 2 (7/10) · RS unknown | Missing: 50>150, 30%>Low, RS≥70",""
2382.SR,"أديس",18.44,potential,8,95,39.7,19.1,18.04,17.6,19.94,12.18,-7.5,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
4030.SR,"البحري",31.94,potential,8,88,33.4,33.6,31.64,31.32,39.48,21.08,-19.1,,"Near Stage 2 (8/10) · RS unknown | Missing: P>50MA, RS≥70",""
4200.SR,"الدريس",118.60,stage4,3,48,-7.0,117.2,122.25,126.4,154.10,110.70,-23.0,,"Declining (3/10) · RS unknown",""
1201.SR,"تكوين",5.20,stage4,1,18,-38.2,5.13,5.58,5.97,8.67,4.90,-40.0,,"Declining (1/10) · RS unknown",""
1202.SR,"مبكو",18.22,stage4,0,24,-39.0,18.38,19.16,20.98,31.52,15.70,-42.2,,"Declining (0/10) · RS unknown",""
1210.SR,"بي سي آي",24.24,stage4,1,49,-10.2,24.78,25.12,25.78,29.16,22.80,-16.9,,"Declining (1/10) · RS unknown",""
1211.SR,"معادن",64.80,stage1,5,89,18.5,64.26,66.44,65.5,79.90,47.10,-18.9,,"Basing (5/10) · RS unknown",""
1301.SR,"أسلاك",16.86,stage4,1,22,-29.6,16.65,17.89,19.42,26.10,15.10,-35.4,,"Declining (1/10) · RS unknown",""
1304.SR,"اليمامة للحديد",40.22,stage2,9,94,24.1,39.61,37.12,36.95,43.50,27.75,-7.5,,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
1320.SR,"أنابيب السعودية",56.90,potential,8,95,0.9,55.21,45.56,46.69,60.00,35.80,-5.2,,"Near Stage 2 (8/10) · RS unknown | Missing: 150>200, RS≥70",""
1321.SR,"أنابيب الشرق",223.00,stage2,9,99,79.5,202.01,164.36,156.71,225.00,102.90,-0.9,NEAR HIGH,"Strong Stage 2 (9/10) · RS unknown | Missing: RS≥70",""
1322.SR,"أماك",76.35,stage4,3,80,14.0,77.49,87.5,84.33,117.50,57.00,-35.0,,"Declining (3/10) · RS unknown",""
1323.SR,"يو سي آي سي",25.40,stage4,2,31,-31.4,25.02,25.13,26.24,39.15,23.00,-35.1,,"Declining (2/10) · RS unknown",""
