Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",50.90,stage3,4,40,-16.4,47.11,48.29,50.49,63.95,43.68,-20.4,,"Basing (4/10)",""
2222.SR,"أرامكو السعودية",26.64,potential,7,63,11.4,26.99,26.38,26.04,27.96,23.04,-4.7,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (63)",""
2380.SR,"بترو رابغ",14.03,stage2,10,92,101.4,14.22,10.65,10.02,16.40,6.26,-14.5,,"Textbook Stage 2 (10/10)",""
2381.SR,"الحفر العربية",89.50,stage2,9,73,8.5,90.8,91.38,90.79,107.00,72.15,-16.4,,"Textbook Stage 2 (9/10) | Missing: 50MA > 150MA",""
2382.SR,"أديس",18.76,stage2,9,83,43.7,19.09,18.22,17.84,19.94,12.42,-5.9,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4030.SR,"البحري",32.68,stage2,9,79,44.8,32.87,31.92,31.61,39.48,21.08,-17.2,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4200.SR,"الدريس",111.90,stage4,0,17,-9.5,115.03,120.67,124.81,154.10,110.70,-27.4,,"Weak / declining (0/10)",""
1201.SR,"تكوين",4.68,stage4,0,1,-39.3,5,5.44,5.75,8.66,4.68,-46.0,,"Weak / declining (0/10)",""
1202.SR,"مبكو",16.80,stage4,0,4,-40.0,18.21,18.56,20.19,30.26,15.70,-44.5,,"Weak / declining (0/10)",""
1210.SR,"بي سي آي",23.33,stage4,1,24,-11.8,24.21,24.85,25.44,29.16,22.80,-20.0,,"Weak / declining (1/10)",""
1211.SR,"معادن",56.35,stage4,2,34,9.4,61.01,66.16,64.93,79.90,49.78,-29.5,,"Weak / declining (2/10)",""
1301.SR,"أسلاك",16.36,stage1,1,6,-29.3,16.46,17.47,18.79,26.10,15.10,-37.3,,"Weak / declining (1/10)",""
1304.SR,"اليمامة للحديد",40.50,stage2,10,74,18.8,40.23,38.14,37.37,43.50,29.18,-6.9,,"Textbook Stage 2 (10/10)",""
1320.SR,"أنابيب السعودية",49.50,potential,7,49,-8.3,53.09,46.31,46.33,60.00,35.80,-17.5,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, Price > 50MA, RS Rating ≥ 70 (49)",""
1321.SR,"أنابيب الشرق",223.40,stage2,10,89,96.6,210.82,172.21,163.41,231.10,102.90,-3.3,,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",68.65,stage4,2,31,-2.0,73.27,85.92,83.85,117.50,60.30,-41.6,,"Weak / declining (2/10)",""
1323.SR,"يو سي آي سي",25.22,stage1,3,14,-26.0,25.23,25.07,25.92,36.20,23.00,-30.3,,"Weak / declining (3/10)",""
1324.SR,"صالح الراشد",41.30,stage1,0,0,0.0,44.63,,,72.15,40.00,-42.8,,"Weak / declining (0/10)",""
2001.SR,"كيمانول",8.87,stage2,10,96,201.0,15.07,10.24,10.05,39.88,5.88,-77.8,,"Textbook Stage 2 (10/10)",""
2010.SR,"سابك",52.00,stage4,1,26,-5.1,54.81,56.02,56.21,64.00,48.20,-18.8,,"Weak / declining (1/10)",""
2020.SR,"سابك للمغذيات الزراعية",124.40,stage1,4,49,5.6,130.5,131.26,128.06,159.30,108.30,-21.9,,"Basing (4/10)",""
2060.SR,"التصنيع",9.22,stage4,2,37,-2.6,9.55,9.36,9.64,11.94,8.05,-22.8,,"Weak / declining (2/10)",""
2090.SR,"جبسكو",14.08,stage4,0,7,-35.6,14.2,14.68,15.48,22.39,13.00,-37.1,,"Weak / declining (0/10)",""
