Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
2030.SR,"المصافي",54.55,stage3,4,57,-9.8,46.84,48.48,50.83,64.85,44.26,-15.9,,"Basing (4/10)",""
2222.SR,"أرامكو السعودية",26.10,potential,6,40,8.3,26.98,26.26,25.96,27.96,23.16,-6.7,,"Near Stage 2 (6/10) | Missing: Price > 150MA, Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (40)",""
2380.SR,"بترو رابغ",12.76,stage2,9,92,74.8,14.05,10.36,9.82,16.40,6.60,-22.2,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2381.SR,"الحفر العربية",91.45,potential,7,73,5.1,90.28,91.62,90.34,107.00,72.45,-14.5,,"Near Stage 2 (7/10) | Missing: Price > 150MA, 50MA > 150MA, 50MA > 200MA",""
2382.SR,"أديس",18.87,stage2,9,83,44.5,19.11,18.16,17.75,19.94,12.55,-5.4,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4030.SR,"البحري",32.44,stage2,9,79,37.2,33.17,31.88,31.56,39.48,21.80,-17.8,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4200.SR,"الدريس",114.50,stage4,0,17,-9.8,115.73,121.17,125.7,154.10,112.30,-25.7,,"Weak / declining (0/10)",""
1201.SR,"تكوين",5.01,stage4,0,1,-38.0,5.06,5.49,5.83,8.66,4.95,-42.1,,"Weak / declining (0/10)",""
1202.SR,"مبكو",18.01,stage4,0,4,-38.3,18.45,18.77,20.46,31.52,16.36,-42.9,,"Weak / declining (0/10)",""
1210.SR,"بي سي آي",24.05,stage4,1,24,-9.6,24.45,24.95,25.56,29.16,23.40,-17.5,,"Weak / declining (1/10)",""
1211.SR,"معادن",58.90,stage4,2,41,8.5,61.95,66.27,65.18,79.90,51.10,-26.3,,"Weak / declining (2/10)",""
1301.SR,"أسلاك",16.91,stage1,1,6,-28.8,16.5,17.59,19.01,26.10,15.65,-35.2,,"Weak / declining (1/10)",""
1304.SR,"اليمامة للحديد",42.00,stage2,10,81,21.9,40.11,37.8,37.28,43.50,31.76,-3.4,,"Textbook Stage 2 (10/10)",""
1320.SR,"أنابيب السعودية",50.35,potential,7,44,-8.6,53.61,45.95,46.44,60.00,36.30,-16.1,,"Near Stage 2 (7/10) | Missing: 150MA > 200MA, Price > 50MA, RS Rating ≥ 70 (44)",""
1321.SR,"أنابيب الشرق",216.00,stage2,10,91,86.4,207.89,169.73,161.35,230.00,105.00,-6.1,,"Textbook Stage 2 (10/10)",""
1322.SR,"أماك",69.95,stage4,2,31,4.8,74.47,86.57,84.1,117.50,61.30,-40.5,,"Weak / declining (2/10)",""
